"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-19","0.0",",,C","10.0",",,C",,,"-4.1",",,C","-8.2",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-20","0.0",",,C","10.0",",,C",,,"1.6",",,C","-6.4",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-21","0.0",",,C","10.0",",,C",,,"-3.1",",,C","-7.4",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-22","0.0",",,C","10.0",",,C",,,"-4.0",",,C","-12.3",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-23","0.0",",,C","10.0",",,C",,,"-3.4",",,C","-8.4",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-24","0.0",",,C","10.0",",,C",,,"1.8",",,C","-10.2",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-25","0.0",",,C","10.0",",,C",,,"2.2",",,C","-7.3",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-26","0.0",",,C","10.0",",,C",,,"4.3",",,C","-12.1",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-27","0.0",",,C",,,,,"-11.1",",,C","-20.2",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-28","0.0",",,C",,,,,"-6.7",",,C","-11.8",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-29","0.0",",,C","10.0",",,C",,,"-6.3",",,C","-9.8",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-30","0.0",",,C","10.0",",,C",,,"-5.0",",,C","-13.0",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2011-12-31","0.6",",,C","10.0",",,C",,,"1.5",",,C","-5.3",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-01","0.0",",,C","10.0",",,C",,,"-1.9",",,C","-10.3",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-02","0.0",",,C",,,,,"-9.8",",,C","-17.3",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-03","0.0",",,C",,,,,"0.4",",,C","-12.0",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-04","0.0",",,C",,,,,"1.4",",,C","-6.2",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-05","0.0",",,C",,,,,"6.7",",,C","-5.4",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-06","1.1",",,C",,,,,"4.2",",,C","-7.5",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-07","0.0",",,C","10.0",",,C",,,"-1.7",",,C","-9.1",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-08","0.0",",,C","10.0",",,C",,,"2.1",",,C","-7.9",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-09","0.0",",,C","10.0",",,C",,,"4.2",",,C","-3.6",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-10","0.0",",,C",,,,,"5.0",",,C","-4.2",",,C",,,,
"CA00502S001","WINNIPEG A CS, MB CA","49.9167","-97.25","239.0","2012-01-11","0.0",",,C",,,,,"-4.2",",,C","-15.8",",,C",,,,
